x,rho,P,u,e,M,H
-0.1040625,0.618917202,0.510840798,0.541301759,2.063445629,0.503557316,2.888823881
-0.1021875,0.61431747,0.505533584,0.549314579,2.057297768,0.511774373,2.880216875
-0.1003125,0.609745126,0.5002737,0.5573274,2.051159079,0.520016004,2.871622711
-0.0984375,0.605200049,0.495060796,0.56534022,2.045029562,0.528282318,2.863041387
-0.0965625,0.600682115,0.48989452,0.573353041,2.038909217,0.536573428,2.854472904
-0.0946875,0.596191204,0.484774525,0.581365861,2.032798045,0.544889445,2.845917263
-0.0928125,0.591727193,0.479700465,0.589378682,2.026696044,0.55323048,2.837374462
-0.0909375,0.587289962,0.474671995,0.597391502,2.020603216,0.561596648,2.828844503
-0.0890625,0.582879391,0.469688773,0.605404323,2.01451956,0.569988062,2.820327384
-0.0871875,0.578495358,0.464750461,0.613417143,2.008445077,0.578404836,2.811823107
-0.0853125,0.574137743,0.45985672,0.621429964,2.002379765,0.586847086,2.803331671
-0.0834375,0.569806428,0.455007214,0.629442784,1.996323625,0.595314928,2.794853076
-0.0815625,0.565501293,0.45020161,0.637455605,1.990276658,0.603808477,2.786387321
-0.0796875,0.561904392,0.446197772,0.644187749,1.985203259,0.610964474,2.779284562
-0.0778125,0.561904392,0.446197772,0.644187749,1.985203259,0.610964474,2.779284562
-0.0759375,0.561904392,0.446197772,0.644187749,1.985203259,0.610964474,2.779284562
-0.0740625,0.561904392,0.446197772,0.644187749,1.985203259,0.610964474,2.779284562
-0.0721875,0.561904392,0.446197772,0.644187749,1.985203259,0.610964474,2.779284562
-0.0703125,0.561904392,0.446197772,0.644187749,1.985203259,0.610964474,2.779284562
-0.0684375,0.561904392,0.446197772,0.644187749,1.985203259,0.610964474,2.779284562
-0.0665625,0.561904392,0.446197772,0.644187749,1.985203259,0.610964474,2.779284562
-0.0646875,0.561904392,0.446197772,0.644187749,1.985203259,0.610964474,2.779284562
-0.0628125,0.561904392,0.446197772,0.644187749,1.985203259,0.610964474,2.779284562
-0.0609375,0.561904392,0.446197772,0.644187749,1.985203259,0.610964474,2.779284562
